,Year,Program Area,Program Project,Sub-Program Project,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
1580,2014,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",110193700.0,112354000.0,115819000.0,,112034000.0,3785000.0
1586,2014,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",96754600.0,100336000.0,103494000.0,,99801000.0,3693000.0
1587,2014,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,12925500.0,12791000.0,12345000.0,,12742000.0,397000.0
1590,2014,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",49507400.0,48521000.0,54883000.0,,48174000.0,6709000.0
1593,2014,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",99451100.0,101505000.0,104757000.0,,101099000.0,3658000.0
1596,2014,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",219590800.0,217802000.0,224858000.0,,216754000.0,8104000.0
1598,2014,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",14975000.0,15209000.0,0.0,,14975000.0,14975000.0
1600,2014,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",45801900.0,42189000.0,45227000.0,,41933000.0,3294000.0
1602,2014,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,5726700.0,7087000.0,8038000.0,,7044000.0,994000.0
1603,2014,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,32434300.0,29505000.0,46326000.0,,29326000.0,17000000.0
1605,2014,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,2247300.0,2465000.0,2476000.0,,2468000.0,8000.0
1606,2014,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",11003900.0,10000000.0,11054000.0,,9939000.0,1115000.0
1607,2014,Hazardous Substance Superfund,Compliance,Compliance Monitoring,1191000.0,1226000.0,1182000.0,,1221000.0,39000.0
1613,2014,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",192282400.0,186375000.0,185280000.0,,186735000.0,1455000.0
1620,2014,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",42218700.0,41824000.0,41972000.0,,41715000.0,257000.0
1621,2014,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1383600.0,1440000.0,1433000.0,,1431000.0,2000.0
1624,2014,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",15305700.0,16123000.0,14593000.0,,16067000.0,1474000.0
1627,2014,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1550900.0,1527000.0,1500000.0,,1526000.0,26000.0
1638,2014,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",133694900.0,135602000.0,137528000.0,,135758000.0,1770000.0
1639,2014,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,19395700.0,17852000.0,18243000.0,,17757000.0,486000.0
1640,2014,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,3918200.0,3330000.0,3197000.0,,3311000.0,114000.0
1646,2014,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",884117900.0,798442000.0,761916000.0,,795880000.0,33964000.0
1648,2014,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,678700.0,789000.0,816000.0,,789000.0,27000.0
1654,2014,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",1463900.0,1592000.0,1405000.0,,1590000.0,185000.0
1658,2014,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",103704100.0,102001000.0,96523000.0,,101367000.0,4844000.0
1659,2014,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,338800.0,397000.0,498000.0,,396000.0,102000.0
1661,2014,Inland Oil Spill Programs,Compliance,Compliance Monitoring,122500.0,138000.0,142000.0,,138000.0,4000.0
1662,2014,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2514100.0,2289000.0,2955000.0,,2286000.0,669000.0
1663,2014,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",15231700.0,14768000.0,17068000.0,,14673000.0,2395000.0
1667,2014,Inland Oil Spill Programs,Operations and Administration,"Subtotal, Operations and Administration",512200.00000000006,535000.0,509000.0,,535000.0,26000.0
1668,2014,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and HealthyCommunities,1051700.0,626000.0,594000.0,,613000.0,19000.0
1676,2014,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",3027176400.0,2513663000.0,2018000000.0,,2524124000.0,506124000.0
1702,2014,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1143040900.0,1076118000.0,1135842000.0,,1088813000.0,47029000.0
1704,2014,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",68306400.0,0.0,0.0,,0.0,0.0
1706,2014,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,0.0,0.0,2000000.0,,0.0,2000000.0
1718,2013,Science & Technology,Clean Air,"Subtotal, Clean Air",142707600.0,,127108000.0,,124378000.0,2730000.0
1723,2013,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",7713200.0,,4156000.0,,6750000.0,89000.0
1724,2013,Science & Technology,Enforcement,Forensics Support,16354300.0,,15593000.0,,15269000.0,324000.0
1736,2013,Science & Technology,Homeland Security,"Subtotal, Homeland Security",60627500.0,,40066000.0,,41973000.0,1907000.0
1737,2013,Science & Technology,IT / Data Management / Security,IT / Data Management,3483700.0,,4047000.0,,3652000.0,395000.0
1744,2013,Science & Technology,Operations and Administration,"Subtotal, Operations and Administration",69436100.0,,75485000.0,,72019000.0,3466000.0
1748,2013,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",6636800.0,,7098000.0,,6563000.0,535000.0
1754,2013,Science & Technology,Research: Air and Energy,"Subtotal, Research: Air and Energy",119756000.0,,105894000.0,,98845000.0,7049000.0
1760,2013,Science & Technology,Research: Safe and Sustainable Water Resources,"Subtotal, Research: Safe and Sustainable Water Resources",117458300.0,,121190000.0,,113476000.0,7714000.0
1766,2013,Science & Technology,Research: Sustainable Communities,"Subtotal, Research: Sustainable Communities",192436100.0,,165730000.0,,170741000.0,5011000.0
1773,2013,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",131353700.00000001,,134746000.0,,131288000.0,3458000.0
1774,2013,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3724200.0,,3639000.0,,3782000.0,143000.0
1777,2013,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",5582000.0,,0.0,,4992000.0,4992000.0
1791,2013,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",313442800.0,,313195000.0,,286108000.0,27087000.0
1796,2013,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",41417300.0,,32434000.0,,33717000.0,1283000.0
1797,2013,Environmental Program & Management,Brownfields,Brownfields,24443800.0,,25685000.0,,23642000.0,2043000.0
1801,2013,Environmental Program & Management,Compliance,"Subtotal, Compliance",110606000.0,,125209000.0,,106707000.0,18502000.0
1807,2013,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",256936800.0,,265442000.0,,249559000.0,15883000.0
1821,2013,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",474019900.0,,411702000.0,,409719000.0,1983000.0
1829,2013,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",14397200.0,,12303000.0,,11278000.0,1025000.0
1839,2013,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",136088700.0,,139404000.0,,130692000.0,8712000.0
1843,2013,Environmental Program & Management,International Programs,"Subtotal, International Programs",19833100.0,,19134000.0,,17604000.0,1530000.0
1846,2013,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",104445300.0,,95761000.0,,94725000.0,1036000.0
1856,2013,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",123743100.0,,132452000.0,,110752000.0,21700000.0
1867,2013,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",510380000.0,,511198000.0,,487083000.0,24115000.0
1872,2013,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",117690300.0,,111007000.0,,110348000.0,659000.0
1879,2013,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",117266000.0,,117298000.0,,112469000.0,4829000.0
1885,2013,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",106380900.0,,109207000.0,,99971000.0,9236000.0
1886,2013,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,11622700.0,,12283000.0,,12846000.0,563000.0
1889,2013,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",59826500.0,,54989000.0,,48174000.0,6815000.0
1892,2013,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",107586000.0,,105315000.0,,101099000.0,4216000.0
1895,2013,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",232689600.0,,223161000.0,,216754000.0,6407000.0
1898,2013,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",750000.0,,0.0,,14975000.0,14975000.0
1900,2013,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",46627900.0,,48273000.0,,41933000.0,6340000.0
1902,2013,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,8269100.0,,8038000.0,,7044000.0,994000.0
1903,2013,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,30254700.0,,33931000.0,,29326000.0,4605000.0
1905,2013,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,2478400.0,,2637000.0,,2468000.0,169000.0
1906,2013,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",8943700.0,,10864000.0,,9939000.0,925000.0
1909,2013,Hazardous Substance Superfund,Compliance,"Subtotal, Compliance",1198100.0,,1223000.0,,1221000.0,2000.0
1917,2013,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",199891300.0,,184408000.0,,186735000.0,2327000.0
1925,2013,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",44982400.0,,41941000.0,,41769000.0,172000.0
1928,2013,Hazardous Substance Superfund,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",1433100.0,,1433000.0,,1431000.0,2000.0
1931,2013,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",18487200.0,,15583000.0,,16067000.0,484000.0
1934,2013,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1526800.0,,1632000.0,,1526000.0,106000.0
1945,2013,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",146324200.0,,140381000.0,,135758000.0,4623000.0
1946,2013,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,21347900.0,,17798000.0,,17677000.0,121000.0
1947,2013,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,3737600.0,,3316000.0,,3337000.0,21000.0
1954,2013,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",999917600.0,,755215000.0,,795880000.0,40665000.0
1956,2013,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,644000.0,,792000.0,,789000.0,3000.0
1957,2013,Leaking Underground Storage Tanks,Compliance,Compliance Assistance and Centers,644000.0,,0.0,,0.0,0.0
1958,2013,Leaking Underground Storage Tanks,IT / Data Management / Security,IT / Data Management,47700.0,,0.0,,0.0,0.0
1965,2013,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",2144900.0,,1513000.0,,1590000.0,77000.0
1969,2013,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",115480200.0,,101322000.0,,101367000.0,45000.0
1970,2013,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,501600.0,,490000.0,,396000.0,94000.0
1974,2013,Inland Oil Spill Programs,Compliance,"Subtotal, Compliance",116600.0,,142000.0,,138000.0,4000.0
1975,2013,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2209600.0,,2968000.0,,2286000.0,682000.0
1976,2013,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",15630700.0,,19290000.0,,14673000.0,4617000.0
1982,2013,Inland Oil Spill Programs,Operations and Administration,"Subtotal, Operations and Administration",519500.0,,513000.0,,535000.0,22000.0
1983,2013,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,1204300.0,,618000.0,,613000.0,5000.0
1993,2013,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",3233565500.0,,2153291000.0,,2524124000.0,370833000.0
2021,2013,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1204790200.0,,1202432000.0,,1088813000.0,113619000.0
2023,2013,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",117641800.0,,0.0,,0.0,0.0
2033,2012,Science & Technology,Clean Air,"Subtotal, Clean Air",131966600.0,135383000.0,134370000.0,,135383000.0,1013000.0
2038,2012,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",7498400.0,7486000.0,6758000.0,,7486000.0,728000.0
2039,2012,Science & Technology,Enforcement,Forensics Support,15245300.0,15351000.0,15326000.0,,15351000.0,25000.0
2051,2012,Science & Technology,Homeland Security,"Subtotal, Homeland Security",59245800.0,65276000.0,42036000.0,,65276000.0,23240000.0
2052,2012,Science & Technology,IT / Data Management / Security,IT / Data Management,4054000.0,4385000.0,4108000.0,,4385000.0,277000.0
2059,2012,Science & Technology,Operations and Administration,"Subtotal, Operations and Administration",72841700.0,72918000.0,76521000.0,,72918000.0,3603000.0
2063,2012,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",6937400.0,6566000.0,6831000.0,,6566000.0,265000.0
2069,2012,Science & Technology,Research: Air and Energy,"Subtotal, Research: Air and Energy",102758100.0,111449000.0,108000000.0,,111449000.0,3449000.0
2075,2012,Science & Technology,Research: Safe and Sustainable Water Resources,"Subtotal, Research: Safe and Sustainable Water Resources",108932900.0,111073000.0,118776000.0,,111073000.0,7703000.0
2081,2012,Science & Technology,Research: Sustainable Communities,"Subtotal, Research: Sustainable Communities",183002700.0,186095000.0,171026000.0,,188095000.0,17069000.0
2088,2012,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",116737500.0,120730000.0,138057000.0,,120730000.0,17327000.0
2089,2012,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3889300.0,3637000.0,3787000.0,,3637000.0,150000.0
2091,2012,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",4568000.0,5700000.0,0.0,,5700000.0,5700000.0
2105,2012,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",299279000.0,300832000.0,315286000.0,,300832000.0,14454000.0
2110,2012,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",38922300.0,40997000.0,33770000.0,,40997000.0,7227000.0
2111,2012,Environmental Program & Management,Brownfields,Brownfields,24465300.0,24152000.0,26397000.0,,24152000.0,2245000.0
2115,2012,Environmental Program & Management,Compliance,"Subtotal, Compliance",130358600.0,134582000.0,119648000.0,,134582000.0,14934000.0
2121,2012,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",226040600.0,224899000.0,268218000.0,,224899000.0,43319000.0
2137,2012,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",557058600.0,608441000.0,463007000.0,,608441000.0,145434000.0
2148,2012,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",24575900.0,23554000.0,11300000.0,,23554000.0,12254000.0
2158,2012,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",131138000.0,130800000.0,145210000.0,,130800000.0,14410000.0
2162,2012,Environmental Program & Management,International Programs,"Subtotal, International Programs",19872100.0,19824000.0,19447000.0,,19824000.0,377000.0
2165,2012,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",104140600.0,103322000.0,95413000.0,,103322000.0,7909000.0
2175,2012,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",123417600.0,123597000.0,128610000.0,,123597000.0,5013000.0
2187,2012,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",520470700.0,498410000.0,507535000.0,,498410000.0,9125000.0
2192,2012,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",119139300.0,120132000.0,110523000.0,,120132000.0,9609000.0
2199,2012,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",123600500.0,123250000.0,116871000.0,,123250000.0,6379000.0
2205,2012,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",100608700.0,101915000.0,115297000.0,,101915000.0,13382000.0
2206,2012,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,12833900.0,12424000.0,12866000.0,,12424000.0,442000.0
2210,2012,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",89957300.0,58507000.0,54426000.0,,58507000.0,4081000.0
2213,2012,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",102375600.0,105168000.0,107324000.0,,105168000.0,2156000.0
2216,2012,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",210920000.0,222023000.0,225486000.0,,222023000.0,3463000.0
2218,2012,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",29700000.0,16950000.0,0.0,,16950000.0,16950000.0
2220,2012,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",49164400.0,44791000.0,45997000.0,,44791000.0,1206000.0
2222,2012,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,9652100.0,8070000.0,8038000.0,,8070000.0,32000.0
2223,2012,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,29896700.0,28931000.0,33931000.0,,28931000.0,5000000.0
2225,2012,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,2586200.0,2495000.0,2487000.0,,2495000.0,8000.0
2226,2012,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",9337900.0,9975000.0,10009000.0,,9975000.0,34000.0
2229,2012,Hazardous Substance Superfund,Compliance,"Subtotal, Compliance",1196200.0,1216000.0,1222000.0,,1216000.0,6000.0
2236,2012,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",196809500.0,195448000.0,191615000.0,,195448000.0,3833000.0
2247,2012,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",54022400.0,56534000.0,41834000.0,,56534000.0,14700000.0
2248,2012,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1438600.0,1433000.0,1433000.0,,1433000.0,0.0
2251,2012,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",17022600.0,17872000.0,16080000.0,,17872000.0,1792000.0
2254,2012,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1522200.0,1639000.0,1677000.0,,1639000.0,38000.0
2265,2012,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",135638600.0,139181000.0,138069000.0,,139181000.0,1112000.0
2266,2012,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,22525300.0,21264000.0,17706000.0,,21264000.0,3558000.0
2267,2012,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,3169100.0,3404000.0,3342000.0,,3404000.0,62000.0
2273,2012,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",969522700.0,856080000.0,810757000.0,,856080000.0,45323000.0
2275,2012,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,0.0,0.0,832000.0,,0.0,832000.0
2276,2012,Leaking Underground Storage Tanks,Compliance,Compliance Assistance and Centers,756800.0,797000.0,0.0,,797000.0,797000.0
2277,2012,Leaking Underground Storage Tanks,IT / Data Management / Security,IT / Data Management,152300.0,162000.0,0.0,,162000.0,162000.0
2284,2012,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",2356300.0,2184000.0,1591000.0,,2184000.0,593000.0
2288,2012,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",108895400.0,109613000.0,109604000.0,,109613000.0,9000.0
2289,2012,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,422500.0,345000.0,454000.0,,345000.0,109000.0
2293,2012,Inland Oil Spill Programs,Compliance,"Subtotal, Compliance",263700.0,269000.0,138000.0,,269000.0,131000.0
2294,2012,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2082800.0000000002,1998000.0,2902000.0,,1998000.0,904000.0
2295,2012,Inland Oil Spill Programs,IT / Data Management / Security,IT / Data Management,24000.0,24000.0,0.0,,24000.0,24000.0
2296,2012,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",13494800.0,14944000.0,19472000.0,,14944000.0,4528000.0
2302,2012,Inland Oil Spill Programs,Operations and Administration,"Subtotal, Operations and Administration",489400.0,505000.0,536000.0,,505000.0,31000.0
2303,2012,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,549700.0,639000.0,614000.0,,639000.0,25000.0
2313,2012,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",3139560900.0,3697000000.0,2659041000.0,,3697000000.0,1037959000.0
2341,2012,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1121749100.0,1116446000.0,1201389000.0,,1116446000.0,84943000.0
2343,2012,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",141665500.0,156777000.0,0.0,,156777000.0,156777000.0
